original_fullcell,frequency,tokens_parsed,chosen_main_token,canonical_plural
"['still lifes', 'mezzotints (prints)', 'prints']",1,still lifes; mezzotints; prints,prints,prints
"['prints', 'lithographs']",1,prints; lithographs,prints,prints
"['sheet (paper)', 'etchings (prints)', 'prints']",1,sheet; etchings; prints,prints,prints
"['etchings (prints)', 'maps', 'prints']",1,etchings; maps; prints,prints,prints
"['reliefs (sculpture)', 'books', 'prints', 'print; letterpress']",1,reliefs; books; prints; print; letterpress,prints,prints
"['etching on heavy commercially made laid paper', 'prints']",1,etching on heavy commercially made laid paper; prints,prints,prints
"['printed on chine colle', 'prints']",1,printed on chine colle; prints,prints,prints
"['photogravures (prints)', 'prints']",1,photogravures; prints,prints,prints
"['medal engraving', 'prints']",1,medal engraving; prints,prints,prints
"['engraving & etching', 'prints']",1,engraving & etching; prints,prints,prints
"['sheet music', 'prints']",1,sheet music; prints,prints,prints
"['stipple engraving', 'engraving (stipple)', 'prints', 'stipple engraving']",1,stipple engraving; engraving; prints; stipple engraving,prints,prints
"['stipple engraving', 'engravings (prints)', 'prints']",1,stipple engraving; engravings; prints,prints,prints
"['engravings (prints)', 'print, engraving', 'prints']",1,"engravings; print, engraving; prints",prints,prints
"['engravings (prints)', 'prints', 'engraver']",1,engravings; prints; engraver,prints,prints
"['etchings (prints)', 'intaglio prints', 'prints']",1,etchings; intaglio prints; prints,prints,prints
"['intaglio prints', 'prints']",1,intaglio prints; prints,prints,prints
"['collotype', 'prints']",1,collotype; prints,prints,prints
"['etchings (prints)', 'letterpress', 'prints']",1,etchings; letterpress; prints,prints,prints
"['print; pictures; engraving', 'prints']",1,print; pictures; engraving; prints,prints,prints
"['prints', 'print; planographic']",1,prints; print; planographic,prints,prints
"['print; intaglio; stipple', 'engravings (prints)', 'mezzotints (prints)', 'stipple', 'prints']",1,print; intaglio; stipple; engravings; mezzotints; stipple; prints,prints,prints
"['print; relief; wood cut', 'prints']",1,print; relief; wood cut; prints,prints,prints
"['engravings (prints)', 'prints', 'print; intaglio']",1,engravings; prints; print; intaglio,prints,prints
"[""' mezzotint"", 'print; intaglio; mezzotint', 'mezzotints (prints)', 'prints']",1,' mezzotint; print; intaglio; mezzotint; mezzotints; prints,prints,prints
"['wood engraving', 'print; relief; wood engraving', 'prints']",1,wood engraving; print; relief; wood engraving; prints,prints,prints
"['print; relief; wood engraving', 'prints']",1,print; relief; wood engraving; prints,prints,prints
"['stipple engraving', 'print; intaglio; stipple', 'prints', 'stipple engraving']",1,stipple engraving; print; intaglio; stipple; prints; stipple engraving,prints,prints
"['engravings (prints)', 'print; intaglio; engraving', 'line engraving', 'prints']",1,engravings; print; intaglio; engraving; line engraving; prints,prints,prints
"['print; intaglio; mezzotint', 'intaglio prints', 'prints']",1,print; intaglio; mezzotint; intaglio prints; prints,prints,prints
"['engravings (prints)', 'print; intaglio; etching', 'prints']",1,engravings; print; intaglio; etching; prints,prints,prints
"['mezzotints (prints)', 'mezzotint with etching', 'prints']",1,mezzotints; mezzotint with etching; prints,prints,prints
"['intaglio prints', 'mezzotints (prints)', 'prints']",1,intaglio prints; mezzotints; prints,prints,prints
"['print; photogravure', 'photomechanical intaglio processes', 'prints']",1,print; photogravure; photomechanical intaglio processes; prints,prints,prints
"['print; photogravure', 'prints']",1,print; photogravure; prints,prints,prints
"['print; intaglio; stipple engraving', 'prints']",1,print; intaglio; stipple engraving; prints,prints,prints
"['print; planographic; lithograph', 'maps', 'prints', 'lithographs']",1,print; planographic; lithograph; maps; prints; lithographs,prints,prints
"['print; portrait', 'prints']",1,print; portrait; prints,prints,prints
"['etchings (prints)', 'maps', 'sheet', 'sheet, lithograph', 'prints']",1,"etchings; maps; sheet; sheet, lithograph; prints",prints,prints
"['certificate, fraktur', 'certificate, marriage', 'fraktur', 'documents', 'pen and ink', 'certificates', 'letterpress', 'prints']",1,"certificate, fraktur; certificate, marriage; fraktur; documents; pen and ink; certificates; letterpress; prints",prints,prints
"['print; mezzotint', 'prints']",1,print; mezzotint; prints,prints,prints
"['sheet (paper)', 'prints', 'print; letterpress']",1,sheet; prints; print; letterpress,prints,prints
"['newspapers', 'prints', 'newspaper; prints; letterpress']",1,newspapers; prints; newspaper; prints; letterpress,prints,prints
"['etchings (prints)', 'proof; etching', 'proof', 'prints']",1,etchings; proof; etching; proof; prints,prints,prints
"['maps', 'print; engraving', 'prints']",1,maps; print; engraving; prints,prints,prints
"['prints', 'print; pochoir; engraving']",1,prints; print; pochoir; engraving,prints,prints
"['etchings (prints)', 'print; etching', 'prints']",1,etchings; print; etching; prints,prints,prints
"['print; relief', 'wallpapers', 'prints', 'drawings']",1,print; relief; wallpapers; prints; drawings,prints,prints
"['aquatints', 'prints', 'print; aquatint']",1,aquatints; prints; print; aquatint,prints,prints
"['print; pen and ink', 'prints', 'drawings']",1,print; pen and ink; prints; drawings,prints,prints
"['prints', 'print; engraving']",1,prints; print; engraving,prints,prints
['prisms'],1,prisms,prisms,prisms
"['petticoats (underskirts)', 'props']",2,petticoats; props,props,props
"['props', 'neckcloth']",1,props; neckcloth,props,props
"['shift', 'props']",1,shift; props,props,props
"['shortgown', 'props']",1,shortgown; props,props,props
"['hoop', 'props']",1,hoop; props,props,props
"['bustles', 'props']",1,bustles; props,props,props
"['arm, artificial', 'prosthesis']",1,"arm, artificial; prosthesis",prosthesis,prosthesis
"['prosthesis', 'hand, artificial']",1,"prosthesis; hand, artificial",prosthesis,prosthesis
['protractor and geometric square'],1,protractor and geometric square,protractor and geometric square,protractor and geometric squares
"['protractor', 'protractor and parallel rule', 'protractor; semi circular, with parallel rule']",1,"protractor; protractor and parallel rule; protractor; semi circular, with parallel rule",protractor,protractors
"[""publisher's notice""]",2,publisher's notice,publisher's notice,publisher's notices
['punch bowls'],1,punch bowls,punch bowls,punch bowls
"['die, coin.1', 'punch', 'dies (tools)']",5,"die, coin.1; punch; dies",punch,punches
['punch'],2,punch,punch,punches
"['die, coin.1', 'punch']",1,"die, coin.1; punch",punch,punches
"['purses (bags)', 'pocketbook, embroidery', 'card case, embroidery']",1,"purses; pocketbook, embroidery; card case, embroidery",purses,purses
['purses (bags)'],1,purses,purses,purses
['quilt block'],2,quilt block,quilt block,quilt blocks
['quilt model'],1,quilt model,quilt model,quilt models
['quilt segment'],1,quilt segment,quilt segment,quilt segments
"['quilt, wholecloth']",1,"quilt, wholecloth","quilt, wholecloth","quilt, wholecloths"
['quilted petticoat'],1,quilted petticoat,quilted petticoat,quilted petticoats
['quilts'],40,quilts,quilts,quilts
"['quilts', ""cribs (children's beds)""]",2,quilts; cribs,quilts,quilts
"['counterpanes', 'quilts']",2,counterpanes; quilts,quilts,quilts
"['counterpanes', 'quilted counterpane; counterpane; household textile', 'quilts']",1,counterpanes; quilted counterpane; counterpane; household textile; quilts,quilts,quilts
"['quilt; household textile', 'quilts']",1,quilt; household textile; quilts,quilts,quilts
"['quilts', 'quilt; household textile']",1,quilts; quilt; household textile,quilts,quilts
"['quilt, fragment', 'quilts']",1,"quilt, fragment; quilts",quilts,quilts
['quinton'],1,quinton,quinton,quintons
"['rack, hanging']",1,"rack, hanging","rack, hanging","rack, hangings"
"['rack, spoon']",1,"rack, spoon","rack, spoon","rack, spoons"
"[""rattle, baby's""]",1,"rattle, baby's","rattle, baby's","rattle, baby's"
"['reamer, lemon', 'lemon reamer; kitchen utensils']",1,"reamer, lemon; lemon reamer; kitchen utensils","reamer, lemon","reamer, lemons"
"['reaper cutter', 'model, cutter for reaper']",1,"reaper cutter; model, cutter for reaper",reaper cutter,reaper cutters
['rebec'],1,rebec,rebec,rebecs
['receipt'],10,receipt,receipt,receipts
"['receipt', 'receipt; signature']",3,receipt; receipt; signature,receipt,receipts
"['receipt; 1778 02 12', 'receipt']",1,receipt; 1778 02 12; receipt,receipt,receipts
"['reciept; sheet (paper); manuscript', 'reciept']",1,reciept; sheet ; manuscript; reciept,reciept; sheet ; manuscript,reciept; sheet ; manuscripts
['reflecting circle'],1,reflecting circle,reflecting circle,reflecting circles
"['regimental flag, 2nd south carolina regiment', 'regimental flag, 2nd south carolina regiment', 'regimental color, 2nd south carolina regiment']",1,"regimental flag, 2nd south carolina regiment; regimental flag, 2nd south carolina regiment; regimental color, 2nd south carolina regiment","regimental flag, 2nd south carolina regiment","regimental flag, 2nd south carolina regiments"
"['newspapers, set of', 'relief processes']",2,"newspapers, set of; relief processes",relief processes,relief processes
"['prints, set of (19)', 'relief processes']",1,"prints, set of; relief processes",relief processes,relief processes
['reliquaries'],2,reliquaries,reliquaries,reliquaries
['retablos (panel paintings)'],2,retablos,retablos,retablos
['retort'],1,retort,retort,retorts
['revenue measures set'],1,revenue measures set,revenue measures set,revenue measures sets
['ribbon (material)'],2,ribbon,ribbon,ribbons
"['rifle; firearms; percussion fire; .52', 'rifles (long guns)', 'rifle, flintlock']",1,"rifle; firearms; percussion fire; .52; rifles; rifle, flintlock",rifles,rifles
"['rifles (long guns)', 'rifle, flintlock']",1,"rifles; rifle, flintlock",rifles,rifles
"['rifle; firearms; flintlock; .60 in; rifled; muzzle load; sa', 'rifles (long guns)', 'rifle, flintlock']",1,"rifle; firearms; flintlock; .60 in; rifled; muzzle load; sa; rifles; rifle, flintlock",rifles,rifles
"['rifle; firearms; flintlock; .52 in; rifled; muzzle load; sa', 'rifles (long guns)', 'rifle, flintlock']",1,"rifle; firearms; flintlock; .52 in; rifled; muzzle load; sa; rifles; rifle, flintlock",rifles,rifles
"['rifle; firearms; army; flintlock; .58 in; rifled; muzzle load; sa', 'rifles (long guns)', 'rifle, flintlock']",1,"rifle; firearms; army; flintlock; .58 in; rifled; muzzle load; sa; rifles; rifle, flintlock",rifles,rifles
"['rifle; firearms; army; flintlock; .54 in; muzzle load; sa', 'rifles (long guns)', 'rifle, flintlock']",1,"rifle; firearms; army; flintlock; .54 in; muzzle load; sa; rifles; rifle, flintlock",rifles,rifles
"['rifle; firearms; flintlock; .69 in; rifled; 14; 03', 'rifles (long guns)']",1,rifle; firearms; flintlock; .69 in; rifled; 14; 03; rifles,rifles,rifles
"['rifle; firearms; flintlock; .67 in; rifled; breech load; sa', 'rifles (long guns)', 'rifle, flintlock']",1,"rifle; firearms; flintlock; .67 in; rifled; breech load; sa; rifles; rifle, flintlock",rifles,rifles
"['rifle; firearms; flintlock; .58 in; rifled; muzzle load; 00; sa; sporting', 'rifles (long guns)', 'rifle, flintlock']",1,"rifle; firearms; flintlock; .58 in; rifled; muzzle load; 00; sa; sporting; rifles; rifle, flintlock",rifles,rifles
"['rifles (long guns)', 'rifle; firearms; flintlock; .62 in; rifled; muzzle load; sa', 'rifle, flintlock']",1,"rifles; rifle; firearms; flintlock; .62 in; rifled; muzzle load; sa; rifle, flintlock",rifles,rifles
"['rings (object genres)', 'ring; jewelry; accessories worn on the body; female']",3,rings; ring; jewelry; accessories worn on the body; female,rings,rings
['rings (object genres)'],1,rings,rings,rings
"['rings (object genres)', 'ring; jewelry; accessories worn on the body; female; mourning']",1,rings; ring; jewelry; accessories worn on the body; female; mourning,rings,rings
['roasters (cookware)'],3,roasters,roasters,roasters
['rugs'],1,rugs,rugs,rugs
['runic calendar'],1,runic calendar,runic calendar,runic calendars
"['saber, dragoon', 'saber; saber, dragoon; edged weapons; army; dragoon']",1,"saber, dragoon; saber; saber, dragoon; edged weapons; army; dragoon","saber, dragoon","saber, dragoons"
"['saber; edged weapons', 'saber']",1,saber; edged weapons; saber,saber,sabers
"['saber', 'saber; edged weapons', 'saber']",1,saber; saber; edged weapons; saber,saber,sabers
"['saber', 'saber; edged weapons; militia; small; officer', 'saber']",1,saber; saber; edged weapons; militia; small; officer; saber,saber,sabers
"['saber; edged weapons; army; cavalry; officer', 'saber']",1,saber; edged weapons; army; cavalry; officer; saber,saber,sabers
"['side saddle, equestrian', 'saddle, side']",1,"side saddle, equestrian; saddle, side","saddle, side","saddle, sides"
"['side saddle', 'saddle, side']",1,"side saddle; saddle, side","saddle, side","saddle, sides"
"['saddles (seats)', 'saddle; equipment, horse']",1,"saddles; saddle; equipment, horse",saddles,saddles
['safes (storage containers)'],1,safes,safes,safes
['salt (inorganic material)'],2,salt,salt,salts
['samplers (embroidery)'],27,samplers,samplers,samplers
"['embroidery, sampler', 'samplers (embroidery)']",11,"embroidery, sampler; samplers",samplers,samplers
"['sampler; ca 1805', 'samplers (embroidery)']",1,sampler; ca 1805; samplers,samplers,samplers
"['sampler; 18th century 3rd qtr', 'samplers (embroidery)']",1,sampler; 18th century 3rd qtr; samplers,samplers,samplers
['sanders (tools)'],2,sanders,sanders,sanders
['santo'],9,santo,santo,santos
"['latino, puerto rican, religious', 'santo']",2,"latino, puerto rican, religious; santo",santo,santos
"['sash and pendant', 'emblems (symbols)']",1,sash and pendant; emblems,sash and pendant,sash and pendants
['sauceboat'],4,sauceboat,sauceboat,sauceboats
"['bowl, tea', 'saucers (plates)']",3,"bowl, tea; saucers",saucers,saucers
['saucers (plates)'],2,saucers,saucers,saucers
['saws'],1,saws,saws,saws
"['scabbard, bayonet', 'scabbards']",1,"scabbard, bayonet; scabbards","scabbard, bayonet","scabbard, bayonets"
"['scabbard, bayonet', 'scabbard; edged weapons; militia?', 'scabbards']",1,"scabbard, bayonet; scabbard; edged weapons; militia?; scabbards","scabbard, bayonet","scabbard, bayonets"
"['scale rule, folding', 'rule, folding']",1,"scale rule, folding; rule, folding","scale rule, folding","scale rule, foldings"
"['scale, plotting', 'scale rule']",1,"scale, plotting; scale rule",scale rule,scale rules
"['scale, balance']",1,"scale, balance","scale, balance","scale, balances"
['school tax record'],1,school tax record,school tax record,school tax records
"['scraper, ivory']",1,"scraper, ivory","scraper, ivory","scraper, ivories"
"['yardsticks', 'scrimshaw', 'swrimshaws']",1,yardsticks; scrimshaw; swrimshaws,scrimshaw,scrimshaws
"['stamps (tools)', 'scrimshaws', 'scrimshaw', 'scrimshaw; maritime', 'swrimshaws']",1,stamps; scrimshaws; scrimshaw; scrimshaw; maritime; swrimshaws,scrimshaw,scrimshaws
"['scrimshaws', 'scrimshaw; maritime', 'scrimshaw powder horn', 'scrimshaw', 'swrimshaws']",1,scrimshaws; scrimshaw; maritime; scrimshaw powder horn; scrimshaw; swrimshaws,scrimshaw,scrimshaws
['sculpture fragment'],1,sculpture fragment,sculpture fragment,sculpture fragments
['sculpture'],22,sculpture,sculpture,sculptures
"['miniatures', 'sculpture']",2,miniatures; sculpture,sculpture,sculptures
['scutching knife'],1,scutching knife,scutching knife,scutching knives
['seam rubber'],1,seam rubber,seam rubber,seam rubbers
"['section, water main']",1,"section, water main","section, water main","section, water mains"
['sector'],4,sector,sector,sectors
"['semi circle', 'sighting instrument']",1,semi circle; sighting instrument,semi circle,semi circles
['serpent'],1,serpent,serpent,serpents
['set square'],1,set square,set square,set squares
['sewing case'],1,sewing case,sewing case,sewing cases
"['shawls', 'shawl; outerwear; female']",1,shawls; shawl; outerwear; female,shawls,shawls
['shears (cutting tools)'],1,shears,shears,shears
"['scissors', 'shears (cutting tools)']",1,scissors; shears,shears,shears
"['sheet (paper), set of music manuscripts', 'sheet (paper); sheet (paper), set of music manuscripts; manuscript']",1,"sheet , set of music manuscripts; sheet ; sheet , set of music manuscripts; manuscript","sheet , set of music manuscripts","sheet , set of music manuscripts"
"['sheet (paper), set of music manuscripts; sheet (paper); manuscript', 'sheet (paper), set of music manuscripts']",1,"sheet , set of music manuscripts; sheet ; manuscript; sheet , set of music manuscripts","sheet , set of music manuscripts","sheet , set of music manuscripts"
"['sheet (paper), set of music manuscript', 'sheet (paper); sheet (paper), set of music manuscript; manuscript']",1,"sheet , set of music manuscript; sheet ; sheet , set of music manuscript; manuscript","sheet , set of music manuscript","sheet , set of music manuscripts"
"['sheet (paper); manuscript', 'receipt']",4,sheet ; manuscript; receipt,sheet ; manuscript,sheet ; manuscripts
"['sheet (paper); manuscript', 'invoice', 'sheet (paper)']",1,sheet ; manuscript; invoice; sheet,sheet ; manuscript,sheet ; manuscripts
"['sheet (paper)', 'sheet (paper); manuscript']",1,sheet; sheet ; manuscript,sheet ; manuscript,sheet ; manuscripts
"['sheet (paper); manuscript', 'deed']",1,sheet ; manuscript; deed,sheet ; manuscript,sheet ; manuscripts
"['sheet (paper)', 'sheet (paper); manuscript', 'sheet (paper)', 'manuscripts']",1,sheet; sheet ; manuscript; sheet; manuscripts,sheet ; manuscript,sheet ; manuscripts
['sheet music'],2,sheet music,sheet music,sheet musics
"['sheet of paper', 'sheet of paper; documents']",3,sheet of paper; sheet of paper; documents,sheet of paper,sheet of papers
['sheet of paper'],1,sheet of paper,sheet of paper,sheet of papers
"['sheet; manuscript', 'valentine']",1,sheet; manuscript; valentine,sheet; manuscript,sheet; manuscripts
"['sheet (paper)', 'currency note']",1,sheet; currency note,sheet,sheets
['sheet(paper)'],1,sheet,sheet,sheets
"['sheet; photomechanical lithography', 'sheet']",1,sheet; photomechanical lithography; sheet,sheet,sheets
"['sheet (paper)', 'sheet; engraving', 'sheet']",1,sheet; sheet; engraving; sheet,sheet,sheets
['sheets (paper)'],1,sheets,sheets,sheets
"['sheet, linen, hand woven', 'sheet']",1,"sheet, linen, hand woven; sheet",sheet,sheets
"['sheets (paper), set of music manuscripts', 'sheets (paper), set of; sheets (paper), set of music manuscripts; manuscript']",3,"sheets , set of music manuscripts; sheets , set of; sheets , set of music manuscripts; manuscript","sheets , set of music manuscripts","sheets , set of music manuscripts"
"['sheets (paper), set of music manuscripts', 'pamphlet; sheets (paper), set of music manuscripts; manuscript']",1,"sheets , set of music manuscripts; pamphlet; sheets , set of music manuscripts; manuscript","sheets , set of music manuscripts","sheets , set of music manuscripts"
"['sheets, set of']",1,"sheets, set of","sheets, set of","sheets, set oves"
"['shell (animal material)', 'ball, cannon', 'shell; ammunition, artillery; 3 in']",1,"shell; ball, cannon; shell; ammunition, artillery; 3 in",shell,shells
['shelves'],3,shelves,shelves,shelves
['shields (armor)'],2,shields,shields,shields
"['shirt fragments', 'shirt fragments; male']",1,shirt fragments; shirt fragments; male,shirt fragments,shirt fragments
"['shirt, collar; upper body; main dress; male', 'shirt, collar']",1,"shirt, collar; upper body; main dress; male; shirt, collar","shirt, collar; upper body; main dress; male",dresses
"['shirts', 'shirt; upper body; main dress; male']",3,shirts; shirt; upper body; main dress; male,shirts,dresses
"['shoes, pair of; footwear; accessories worn on the body; female', 'shoes (footwear)']",15,"shoes, pair of; footwear; accessories worn on the body; female; shoes",shoes,shoes
"['shoes, pair of; footwear; accessories worn on the body; child', 'shoes (footwear)']",4,"shoes, pair of; footwear; accessories worn on the body; child; shoes",shoes,shoes
"['shoes (footwear)', 'shoes, pair of; footwear; accessories worn on the body']",2,"shoes; shoes, pair of; footwear; accessories worn on the body",shoes,shoes
['shoes (footwear)'],1,shoes,shoes,shoes
"['shoe; footwear; accessories worn on the body; female', 'shoes (footwear)']",1,shoe; footwear; accessories worn on the body; female; shoes,shoes,shoes
"['shoes; footwear; accessories worn on the body; male', 'shoes (footwear)']",1,shoes; footwear; accessories worn on the body; male; shoes,shoes,shoes
"['shoe; footwear; accessories worn on the body; infant', 'shoes (footwear)']",1,shoe; footwear; accessories worn on the body; infant; shoes,shoes,shoes
"['shoe; footwear; accessories worn on the body; male', 'shoes (footwear)']",1,shoe; footwear; accessories worn on the body; male; shoes,shoes,shoes
"['shoes; footwear; accessories worn on the body; girl', 'shoes (footwear)']",1,shoes; footwear; accessories worn on the body; girl; shoes,shoes,shoes
"['signs (declaratory or advertising artifacts)', 'shop signs']",2,signs; shop signs,shop signs,shop signs
['shop signs'],1,shop signs,shop signs,shop signs
"['short gown; upper body; main dress; female; quaker?', 'short gown']",1,short gown; upper body; main dress; female; quaker?; short gown,short gown; upper body; main dress; female; quaker?,dresses
"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; 18 ga; smooth bore; muzzle load; sa; p']",1,"shotgun, flintlock; shotgun; shotgun; firearms; flintlock; 18 ga; smooth bore; muzzle load; sa; p","shotgun, flintlock","shotgun, flintlocks"
"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; 24 ga; smooth bore; muzzle load; sa']",1,"shotgun, flintlock; shotgun; shotgun; firearms; flintlock; 24 ga; smooth bore; muzzle load; sa","shotgun, flintlock","shotgun, flintlocks"
"['shotgun, flintlock', 'shotgun', 'shotgun; firearms; flintlock; .60 in; smooth bore; muzzle load; sa']",1,"shotgun, flintlock; shotgun; shotgun; firearms; flintlock; .60 in; smooth bore; muzzle load; sa","shotgun, flintlock","shotgun, flintlocks"
"['shotgun, flintlock', 'fowler', 'fowler; firearms; flintlock; .50 in; smooth bore; ml; sa']",1,"shotgun, flintlock; fowler; fowler; firearms; flintlock; .50 in; smooth bore; ml; sa","shotgun, flintlock","shotgun, flintlocks"
"['shot; underwater', 'shot']",4,shot; underwater; shot,shot,shots
"['bar shot', 'shot']",1,bar shot; shot,shot,shots
['shovels'],2,shovels,shovels,shovels
"['shrine, pocket']",1,"shrine, pocket","shrine, pocket","shrine, pockets"
"['side chairs', 'sheraton', 'furnishings']",1,side chairs; sheraton; furnishings,side chairs,side chairs
['signature'],1,signature,signature,signatures
['silhouettes'],1845,silhouettes,silhouettes,silhouettes
"['silhouettes', 'silhouette; pictures']",6,silhouettes; silhouette; pictures,silhouettes,silhouettes
"['silhouettes', 'silhouette; pictures; portrait']",1,silhouettes; silhouette; pictures; portrait,silhouettes,silhouettes
['silk picture'],4,silk picture,silk picture,silk pictures
"['silk, embroidery', 'pictures (object genre)']",1,"silk, embroidery; pictures","silk, embroidery","silk, embroideries"
['skewers'],2,skewers,skewers,skewers
['skillets'],2,skillets,skillets,skillets
['skimmers (culinary tools)'],5,skimmers,skimmers,skimmers
"['strainers (culinary tools)', 'skimmers (culinary tools)']",1,strainers; skimmers,skimmers,skimmers
['slate (rock)'],1,slate,slate,slates
"['slave leg irons', 'irons, leg']",1,"slave leg irons; irons, leg",slave leg irons,slave leg irons
['slide rules'],1,slide rules,slide rules,slide rules
['snuffbox'],4,snuffbox,snuffbox,snuffboxes
['snuffboxes'],2,snuffboxes,snuffboxes,snuffboxes
['snuffers and tray'],2,snuffers and tray,snuffers and tray,snuffers and trays
"['soda glass, holder', 'holder, soda glass; soda fountain; furnishings', 'holder, soda glass']",2,"soda glass, holder; holder, soda glass; soda fountain; furnishings; holder, soda glass","soda glass, holder","soda glass, holders"
"['sofa', 'sofa; doll house furnishings; toys']",1,sofa; sofa; doll house furnishings; toys,sofa,sofas
"['spade; maritime; boat', 'spade, blubber', 'spade']",1,"spade; maritime; boat; spade, blubber; spade",spade; maritime; boat,spade; maritime; boats
['spatulas (culinary tools)'],2,spatulas,spatulas,spatulas
"['spear head', 'spear head; edged weapons']",1,spear head; spear head; edged weapons,spear head,spear heads
['spectacles'],2,spectacles,spectacles,spectacles
"['spectacles; vision aids', 'spectacles']",1,spectacles; vision aids; spectacles,spectacles,spectacles
['spherometer'],2,spherometer,spherometer,spherometers
"['spigot', 'spigot; kitchen utensils']",1,spigot; spigot; kitchen utensils,spigot,spigots
['spindles (textile working equipment)'],1,spindles,spindles,spindles
['spinning frame'],1,spinning frame,spinning frame,spinning frames
"['spinning wheel, flax']",2,"spinning wheel, flax","spinning wheel, flax","spinning wheel, flaxes"
"['spinning wheels', 'spinning wheel, flax']",1,"spinning wheels; spinning wheel, flax","spinning wheel, flax","spinning wheel, flaxes"
"['spinning wheel, flax', 'hand tools']",1,"spinning wheel, flax; hand tools","spinning wheel, flax","spinning wheel, flaxes"
"['spinning wheel, flax', 'spinning wheel, double fyer']",1,"spinning wheel, flax; spinning wheel, double fyer","spinning wheel, flax","spinning wheel, flaxes"
"['spinning wheel, wool']",1,"spinning wheel, wool","spinning wheel, wool","spinning wheel, wools"
"['spoon, souvenir']",1,"spoon, souvenir","spoon, souvenir","spoon, souvenirs"
"['spoon, stirring']",1,"spoon, stirring","spoon, stirring","spoon, stirrings"
['spoons'],20,spoons,spoons,spoons
"['mold, spoon', 'spoons']",1,"mold, spoon; spoons",spoons,spoons
"['spoons', 'cutlery']",1,spoons; cutlery,spoons,spoons
"['spoons', 'spoon; serving', 'cutlery']",1,spoons; spoon; serving; cutlery,spoons,spoons
"['spoons', 'spoon; eating utensils', 'cutlery']",1,spoons; spoon; eating utensils; cutlery,spoons,spoons
['spurs (costume accessories)'],1,spurs,spurs,spurs
"['stamp, butter mold']",2,"stamp, butter mold","stamp, butter mold","stamp, butter molds"
"['stamp, butter']",26,"stamp, butter","stamp, butter","stamp, butters"
"['stamp, butter', 'mold, butter, stamp']",1,"stamp, butter; mold, butter, stamp","stamp, butter","stamp, butters"
"['stand, cruet']",1,"stand, cruet","stand, cruet","stand, cruets"
"['stand, pickle', 'dish, sweetmeat']",1,"stand, pickle; dish, sweetmeat","stand, pickle","stand, pickles"
"['stand, roaster']",1,"stand, roaster","stand, roaster","stand, roasters"
"['stand, sweetmeat']",1,"stand, sweetmeat","stand, sweetmeat","stand, sweetmeats"
"['stand, teapot']",1,"stand, teapot","stand, teapot","stand, teapots"
"['statuette, religious']",1,"statuette, religious","statuette, religious","statuette, religiouses"
"['stays; upper body; underwear; female', 'stays']",4,stays; upper body; underwear; female; stays,stays,stays
"['stays; upper body; underwear; girl', 'stays']",1,stays; upper body; underwear; girl; stays,stays,stays
['steam jack'],1,steam jack,steam jack,steam jacks
"['stem, pipe, tobacco']",1,"stem, pipe, tobacco","stem, pipe, tobacco",pipes
"['stem, pipe', 'pipe stem; smoking equipment']",1,"stem, pipe; pipe stem; smoking equipment","stem, pipe",pipes
"['stick, mixing']",1,"stick, mixing","stick, mixing","stick, mixings"
"['stick, pudding']",1,"stick, pudding","stick, pudding","stick, puddings"
"['stick, toddy', 'stick, swizzle']",1,"stick, toddy; stick, swizzle","stick, swizzle","stick, swizzles"
"['stick, swizzle']",1,"stick, swizzle","stick, swizzle","stick, swizzles"
['sticker'],1,sticker,sticker,stickers
"['stirrup, equestrian']",1,"stirrup, equestrian","stirrup, equestrian","stirrup, equestrians"
"['stockings; footwear; accessories worn on the body; male', 'stockings']",2,stockings; footwear; accessories worn on the body; male; stockings,stockings,stockings
['stockings'],1,stockings,stockings,stockings
"['stockings, pair of; footwear; accessories worn on the body; female', 'stockings']",1,"stockings, pair of; footwear; accessories worn on the body; female; stockings",stockings,stockings
"['stone, sharpening', 'stone (rock)']",1,"stone, sharpening; stone","stone, sharpening","stone, sharpenings"
"['stools (seating furniture)', 'stool; equipment, individual']",1,"stools; stool; equipment, individual",stools,stools
"['stove, miniature']",1,"stove, miniature","stove, miniature","stove, miniatures"
"['stove; heating equipment', 'stoves (heating equipment)']",1,stove; heating equipment; stoves,stove; heating equipment,stove; heating equipments
"['streamers, set of', 'flags, set of', 'flags, set of; military; pennant']",1,"streamers, set of; flags, set of; flags, set of; military; pennant","streamers, set of","streamers, set oves"
['striker box'],1,striker box,striker box,striker boxes
"['stud, collar', 'stud, collar; jewelry; accessories worn on the body; male']",1,"stud, collar; stud, collar; jewelry; accessories worn on the body; male","stud, collar","stud, collars"
"['stud', 'stud; jewelry; accessories worn on the body; male']",1,stud; stud; jewelry; accessories worn on the body; male,stud,studs
['sugar bowls'],2,sugar bowls,sugar bowls,sugar bowls
"['suit, 2 piece']",1,"suit, 2 piece","suit, 2 piece","suit, 2 pieces"
"['suit, 2 piece', 'suit, 2 piece; entire body; main dress; male']",1,"suit, 2 piece; suit, 2 piece; entire body; main dress; male","suit, 2 piece",dresses
"['suit, 2 piece; entire body; main dress; male', 'suit, 2 piece']",1,"suit, 2 piece; entire body; main dress; male; suit, 2 piece","suit, 2 piece",dresses
"['suit, 3 piece; entire body; main dress; male', 'suit, 3 piece']",1,"suit, 3 piece; entire body; main dress; male; suit, 3 piece","suit, 3 piece; entire body; main dress; male",dresses
